01,004012345,004012345,240801,0432,50112,,,2/
02,,236073801,1,240801,0432,,2/
03,709901359,,015,+22236606,,,045,+22037499,,,100,+8301582,,,400,+13025,,/                                        
16,108,+267814,,,,YARDI CARD DEP   FT135Trans                                                                     
16,108,+327861,,,,Lindy Property-f Settlement                                                                     
16,475,+13025,0,8689300,19363,CHECK PAID                                                                          
16,108,+199107,,,,LOCKBOX DEPOSIT                                                                                 
16,108,+7506800,,,,Philadelphia Hou S8 VENDORS                                                                    
49,+60903319,7/
03,709901359,,015,+21782667,,,045,+21702407,,,100,+575588,,,400,+1029527,,/                                       
16,108,+300000,,,,Lindy Property-f Settlement                                                                     
16,108,+29607,,,,YARDI CARD DEP   FT135Trans                                                                      
16,108,+165721,,,,Lindy Property-f Settlement                                                                     
16,475,+295110,0,8207380,19371,CHECK PAID                                                                         
16,108,+80260,,,,LOCKBOX DEPOSIT                                                                                  
16,409,+734417,0,,,CASS INFO. SHIP. CONC ACCTS                                                                    
49,+46695304,8/
03,709901359,,015,+21782667,,,045,+21702407,,,100,,,,400,,,/                                                      
49,+43485074,2/
03,709901359,,015,+21782667,,,045,+21702407,,,100,,,,400,,,/                                                      
49,+43485074,2/
03,709901359,,015,+22415335,,,045,+22290798,,,100,+737154,,,400,+104486,,/                                        
16,108,+130828,,,,Lindy Property-f Settlement                                                                     
16,108,+237828,,,,Lindy Property-f Settlement                                                                     
16,409,+65400,0,,,Lowes                                                                                           
16,108,+48133,,,,Lindy Property-f Settlement                                                                      
16,108,+92421,,,,YARDI CARD DEP   FT135Trans                                                                      
16,108,+103407,,,,Flex                                                                                            
16,475,+39086,0,8878510,19382,CHECK PAID                                                                          
16,108,+124537,,,,LOCKBOX DEPOSIT                                                                                 
49,+46389413,10/
03,709901359,,015,+22662638,,,045,+20201004,,,100,+537942,,,400,+290639,,/                                        
16,475,+152879,0,8062990,19385,CHECK PAID                                                                         
16,475,+77760,0,8106330,19380,CHECK PAID                                                                          
16,475,+60000,0,8070510,19379,CHECK PAID                                                                          
16,108,+33907,,,,Lindy Property-f Settlement                                                                      
16,108,+89707,,,,YARDI CARD DEP   FT135Trans                                                                      
16,108,+127507,,,,Lindy Property-f Settlement                                                                     
16,108,+141814,,,,YARDI CARD DEP   FT135Trans                                                                     
16,108,+145007,,,,FLEX                                                                                            
49,+44520804,10/
03,709901359,,015,+20791400,,,045,+20791400,,,100,+1502594,,,400,+3373832,,/                                      
16,108,+202861,,,,YARDI CARD DEP   FT135Trans                                                                     
16,108,+410063,,,,YARDI CARD DEP   FT135Trans                                                                     
16,108,+126139,,,,YARDI CARD DEP   FT135Trans                                                                     
16,108,+136214,,,,Lindy Property-f Settlement                                                                     
16,108,+155000,,,,Lindy Property-f Settlement                                                                     
16,108,+186159,,,,236073801        JOSHUAHSE                                                                      
16,475,+7020,0,8649420,19384,CHECK PAID                                                                           
16,195,+905178,,,,NO DESCRIPTION FOR TRAN                                                                         
16,409,+701862,0,,,Lindy Longwood M PREFUND                                                                       
16,409,+1759772,0,,,Lindy Longwood M PREFUND                                                                      
16,108,+27107,,,,YARDI CARD DEP   FT135Trans                                                                      
16,108,+69492,,,,236073801        FOUNTAING                                                                       
16,108,+72607,,,,FLEX                                                                                             
16,108,+116952,,,,236073801        ROOSEVELT                                                                      
49,+51335652,16/
03,709901359,,015,+21202508,,,045,+21202508,,,100,+472840,,,400,+61732,,/                                         
16,108,+400,,,,Lindy Property-f Settlement                                                                        
16,108,+472440,,,,YARDI CARD DEP   FT135Trans                                                                     
16,475,+61732,0,8256280,19383,CHECK PAID                                                                          
49,+43474160,5/
03,709901359,,015,+15797964,,,045,+15797964,,,100,+192254,,,400,+5596798,,/                                       
16,475,+14000,0,8391150,19378,CHECK PAID                                                                          
16,409,+602602,0,,,CASS INFO. SHIP. CONC ACCTS                                                                    
16,409,+4980196,0,,,KEYBANK RE CAP   PAYMENT                                                                      
16,108,+8257,,,,Lindy Property-f Settlement                                                                       
16,108,+183997,,,,YARDI CARD DEP   FT135Trans                                                                     
49,+43174032,7/
03,709901359,,015,+15797964,,,045,+15797964,,,100,,,,400,,,/                                                      
49,+31595928,2/
03,709901359,,015,+15797964,,,045,+15797964,,,100,,,,400,,,/                                                      
49,+31595928,2/
03,709901359,,015,+15977910,,,045,+15914931,,,100,+179946,,,400,,,/                                               
16,108,+116967,,,,YARDI CARD DEP   FT135Trans                                                                     
16,108,+62979,,,,LOCKBOX DEPOSIT                                                                                  
49,+32252733,4/
03,709901359,,015,+15442951,,,045,+15442951,,,100,+447926,,,400,+982885,,/                                        
16,475,+514000,0,8110590,19391,CHECK PAID                                                                         
16,475,+148392,0,8557490,19388,CHECK PAID                                                                         
16,475,+140604,0,8529540,19381,CHECK PAID                                                                         
